brand,item,price,deal_price,img_url,product_url
Pour Les Femmes,pyjama à rayures,326 €,,https://cdn-images.farfetch-contents.com/15/47/05/02/15470502_28829025_300.jpg,https://www.farfetch.com/fr/shopping/women/pour-les-femmes-pyjama-a-rayures-item-15470502.aspx?storeid=9359
Chinti and Parker,pyjama Stripe Mix,487 €,,https://cdn-images.farfetch-contents.com/15/24/95/61/15249561_28936782_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-stripe-mix-item-15249561.aspx?storeid=10241
Marni,haut de pyjama à rayures,890 €,,https://cdn-images.farfetch-contents.com/14/87/42/61/14874261_24768451_300.jpg,https://www.farfetch.com/fr/shopping/women/marni-haut-de-pyjama-a-rayures-item-14874261.aspx?storeid=11119
Viktor & Rolf,pantalon de pyjama imprimé,113 €,,https://cdn-images.farfetch-contents.com/15/93/49/70/15934970_29547897_300.jpg,https://www.farfetch.com/fr/shopping/women/viktor-rolf-pantalon-de-pyjama-imprime-item-15934970.aspx?storeid=11053
La Perla,bas de pyjama Maison,390 €,,https://cdn-images.farfetch-contents.com/15/21/69/81/15216981_28557893_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-bas-de-pyjama-maison-item-15216981.aspx?storeid=9359
Eres,pantalon de pyjama Passport,320 €,,https://cdn-images.farfetch-contents.com/15/25/54/86/15255486_27048745_300.jpg,https://www.farfetch.com/fr/shopping/women/eres-pantalon-de-pyjama-passport-item-15255486.aspx?storeid=12673
Morgan Lane,pyjama Katelyn Fiona,519 €,,https://cdn-images.farfetch-contents.com/15/46/52/22/15465222_29933679_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-pyjama-katelyn-fiona-item-15465222.aspx?storeid=10745
La Perla,pyjama à col claudine,286 €,,https://cdn-images.farfetch-contents.com/15/69/53/15/15695315_28622206_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-pyjama-a-col-claudine-item-15695315.aspx?storeid=11362
Balenciaga,bas de pyjama à fleurs,990 €,495 €,https://cdn-images.farfetch-contents.com/14/76/99/34/14769934_27333426_300.jpg,https://www.farfetch.com/fr/shopping/women/balenciaga-bas-de-pyjama-a-fleurs-item-14769934.aspx?storeid=10952
Fleur Du Mal,top de pyjama à fleurs,430 €,301 €,https://cdn-images.farfetch-contents.com/14/32/90/60/14329060_21134636_300.jpg,https://www.farfetch.com/fr/shopping/women/fleur-du-mal-top-de-pyjama-a-fleurs-item-14329060.aspx?storeid=9795
Morgan Lane,Short de pyjama Corey customisable,303 €,,https://cdn-images.farfetch-contents.com/13/61/32/50/13613250_16486812_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-short-de-pyjama-corey-customisable-item-13613250.aspx?storeid=10832
Gilda & Pearl,"bas de pyjama ""Gina""",443 €,222 €,https://cdn-images.farfetch-contents.com/11/66/65/05/11666505_8042660_300.jpg,https://www.farfetch.com/fr/shopping/women/gilda-pearl-bas-de-pyjama-gina-item-11666505.aspx?storeid=10249
Sleeper,pyjama à design ample ,246 €,,https://cdn-images.farfetch-contents.com/15/45/17/69/15451769_28557877_300.jpg,https://www.farfetch.com/fr/shopping/women/sleeper-pyjama-a-design-ample-item-15451769.aspx?storeid=9359
GANNI,haut de pyjama à carreaux,375 €,,https://cdn-images.farfetch-contents.com/15/11/25/49/15112549_28592720_300.jpg,https://www.farfetch.com/fr/shopping/women/ganni-haut-de-pyjama-a-carreaux-item-15112549.aspx?storeid=9359
Gilda & Pearl,pantalon de pyjamas Mia bordé de plumes,604 €,,https://cdn-images.farfetch-contents.com/15/06/97/98/15069798_25749105_300.jpg,https://www.farfetch.com/fr/shopping/women/gilda-pearl-pantalon-de-pyjamas-mia-borde-de-plumes-item-15069798.aspx?storeid=10249
La Perla,short de pyjama à taille élastiquée,112 €,,https://cdn-images.farfetch-contents.com/15/69/53/26/15695326_28621840_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-short-de-pyjama-a-taille-elastiquee-item-15695326.aspx?storeid=11362
La Perla,haut de pyjama à détails en dentelle,136 €,,https://cdn-images.farfetch-contents.com/14/89/66/19/14896619_27884039_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-haut-de-pyjama-a-details-en-dentelle-item-14896619.aspx?storeid=9359
Viktor & Rolf,ensemble top-short de pyjama à rayures,130 €,,https://cdn-images.farfetch-contents.com/15/41/46/98/15414698_27222769_300.jpg,https://www.farfetch.com/fr/shopping/women/viktor-rolf-ensemble-top-short-de-pyjama-a-rayures-item-15414698.aspx?storeid=11053
Materiel,pantalon de pyjama en soie à taille haute,548 €,,https://cdn-images.farfetch-contents.com/15/24/34/35/15243435_27662932_300.jpg,https://www.farfetch.com/fr/shopping/women/materiel-pantalon-de-pyjama-en-soie-a-taille-haute-item-15243435.aspx?storeid=9359
Morgan Lane,Top Ruthie customisable,435 €,,https://cdn-images.farfetch-contents.com/13/61/32/49/13613249_16486790_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-top-ruthie-customisable-item-13613249.aspx?storeid=10832
Morgan Lane,Top Ruthie customisable,420 €,,https://cdn-images.farfetch-contents.com/13/14/47/10/13144710_14281718_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-top-ruthie-customisable-item-13144710.aspx?storeid=10832
